CD_CVM,TICKER,DENOM_SOCIAL,DENOM_COMERC,SETOR_ATIV,PF_PJ,CNPJ,DT_REG,DT_CONST,DT_CANCEL,MOTIVO_CANCEL,SIT_REG,DT_INI_SIT,SIT_EMISSOR,DT_INI_SIT_EMISSOR,CATEG_REG,DT_INI_CATEG,AUDITOR,CNPJ_AUDITOR,TP_ENDER,LOGRADOURO,COMPL,BAIRRO,CIDADE,UF,PAIS,CD_POSTAL,TEL,FAX,EMAIL,TP_RESP,RESP,DT_INI_RESP,LOGRADOURO_RESP,COMPL_RESP,BAIRRO_RESP,CIDADE_RESP,UF_RESP,PAIS_RESP,CEP_RESP,TEL_RESP,FAX_RESP,EMAIL_RESP,TP_MERC
35,,A J RENNER SA IND E PARTIP,A J RENNER,EMP. ADM. PARTICIPAÇÕES,PJ,9.26596E+13,6/24/1969,,6/17/1998,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,6/17/1998,,,,,ARTHUR ANDERSEN BIEDERMANN A I,4.40382E+13,SEDE,R FREDERICO MENTZ 1606,,,PORTO ALEGRE,RS,BRASIL,,(51) 3372033,(51) 3423595,,DIRETOR DE RELAÇÕES COM INVESTIDORES,VERNER EGON RENNER,6/24/1969,"RUA FREDERICO MENTZ, 1606",,,PORTO ALEGRE,RS,,90000000,(51) 3142033,(0051) 3743595,,BALCÃO NÃO ORGANIZADO
60,,ACOPALMA CIA INDL ACOS V PALMA,ACOPALMA CIA INDL ACOS V PALMA,METALURGIA E SIDERURGIA,PJ,1.8451E+13,5/9/1978,3/15/1973,8/7/2007,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,8/7/2007,,,,,WALTER HEUER AUDITORES INDEPENDENTES,6.14114E+13,SEDE,ALAMEDA LOURIVAL BOECHAT 550,,N.S.FATIMA,VÁRZEA DA PALMA,MG,BRASIL,,(31) 33352590,(31) 33442596,,DIRETOR DE RELAÇÕES COM INVESTIDORES,MILTON ALENCAR ASSIS DE TOLEDO,5/9/1978,"RUA ALVES DO VALE, 14",,CORAçAO JESUS,BELO HORIZONTE,MG,,30380320,(31) 33352590,(31) 33442596,MAATOLEDO@UOL.COM.BR,BALCÃO NÃO ORGANIZADO
78,,ACOS ANHANGUERA SA,ANHANGUERA,METALURGIA E SIDERURGIA,PJ,6.11507E+13,10/20/1971,,2/9/1994,ELISÃO POR INCORPORAÇÃO,CANCELADA,2/9/1994,,,,,RUHTRA S/C,3.30173E+13,SEDE,AV INTERLAGOS 4455 JD.UMUARAMA,,,SÃO PAULO,SP,BRASIL,,(11) 5253322,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,LUIS ROBERTO DE M. JUNQUEIRA,10/20/1971,RUA VERBO DIVINO 1661,,,SÃO PAULO,SP,,4719000,(11) 2461222,,,BOLSA
86,,ACOS DO BRASIL SA IND E COM,ACOS DO BRASIL,METALURGIA E SIDERURGIA,PJ,6.08907E+13,8/16/1972,,12/14/1989,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,CANCELADA,12/14/1989,,,,,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES,4.99286E+13,SEDE,R DR JULIO PIGNATARI 109,,,SANTO ANDRÉ,SP,BRASIL,,(11) 4491022,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RUY MARQUES,8/16/1972,R XV DE NOVEMBRO 324,,,SÃO PAULO,SP,,1013000,(11) 2390711,,,BALCÃO NÃO ORGANIZADO
94,PATI,PANATLANTICA SA,PANATLANTICA,METALURGIA E SIDERURGIA,PJ,9.2693E+13,12/29/1971,7/20/1967,,,ATIVO,12/29/1971,FASE OPERACIONAL,12/29/1971,Categoria A,1/1/2010,TRÍPLICE AUDITORIA,1.55746E+13,SEDE,"Rua Rudolfo Vontobel, 600",-,Distrito Industrial,GRAVATAÍ,RS,BRASIL,,(51) 34897777,(51) 34897799,panatlantica@panatlantica.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,JOSÉ ANTONIO SILVA VARGAS,12/29/1971,"RUA RUDOLFO VONTOBEL, 600",,DISTRITO INDUSTRIAL,GRAVATAÍ,RS,,94045405,(51) 34897777,(51) 34897799,jantonio@panatlantica.com.br,BOLSA
108,,AÇOS VILLARES SA,ACOS VILLARES,METALURGIA E SIDERURGIA,PJ,6.06648E+13,5/16/1969,8/18/1944,12/30/2010,ELISÃO POR INCORPORAÇÃO,CANCELADA,12/30/2010,FASE OPERACIONAL,5/16/1969,Categoria A,1/1/2010,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES,4.99286E+13,SEDE,"Avenida das Nações Unidas, 8501",5º ANDAR,Pinheiros,SÃO PAULO,SP,BRASIL,,(051) 33232211,(51) 33232281,inform@gerdau.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,OSVALDO BURGOS SCHIRMER,4/28/2009,AV. FARRAPOS,Nº 1811,FLORESTA,PORTO ALEGRE,RS,,90220005,(51  ) 33232211,(51  ) 33232281,inform@gerdau.com.br,BOLSA
116,,ACRINOR ACRILONITRILA DO NE SA,ACRINOR,Petroquímicos e Borracha,PJ,1.35464E+13,12/23/1981,,2/21/2000,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,CANCELADA,2/21/2000,,,,,ERNST & YOUNG AUDITORES INDEPENDENTES S/S,6.13669E+13,SEDE,"RUA DO HIDROGENIO, 824",,COPEC,CAMAÇARI,BA,BRASIL,,(71) 8342455,(71) 8322137,,DIRETOR DE RELAÇÕES COM INVESTIDORES,NELSON MAGALHÃES GRAÇA,12/23/1981,"RUA DO HIDROGENIO, 824",,,CAMAÇARI,BA,,41810000,(71) 8342500,(0071) 8322137,,BALCÃO NÃO ORGANIZADO
132,,ADESENE ADESIVOS NO NORDESTE SA,ADESENE,Petroquímicos e Borracha,PJ,1.10298E+13,12/10/1974,,8/9/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,8/9/2005,,,,,,,SEDE,R.A-Q.O-L.1 A 5-DIST.INDL.JP,,,JOÃO PESSOA,PB,BRASIL,,(83) 2213334,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,FLAVIO RODOLFO PINHEIRO LIMA,12/10/1974,R.A-Q.O-L.1 A 5-DIST.INDL.JP,,,JOÃO PESSOA,PB,,58000000,(83) 2213334,,,BALCÃO NÃO ORGANIZADO
140,,YARA BRASIL FERTILIZANTES,YARA BRASIL FERTILIZANTES S.A.,Petroquímicos e Borracha,PJ,9.26606E+13,9/10/1981,3/11/1963,11/18/2011,Cancelamento Voluntário - IN CVM 480/09,CANCELADA,11/18/2011,FASE OPERACIONAL,3/31/2001,Categoria A,1/1/2010,DIRECTA AUDITORES,1.12457E+13,SEDE,AV. PADRE CACIQUE,320,MENINO DEUS,PORTO ALEGRE,RS,BRASIL,,(051) 32301122,(51) 32301374,ademar.fronchetti@yara.com,DIRETOR DE RELAÇÕES COM INVESTIDORES,ADEMAR FRONCHETTI,9/10/1981,AV PADRE CACIQUE 320,,MENINO DEUS,PORTO ALEGRE,RS,,90810240,(51  ) 32331122,(51  ) 32333819,ademar.fronchetti@yara.com,BOLSA
159,,ADUBOS VIANNA SA INDUSTRIA E COMERCIO,ADUBOS VIANNA,Petroquímicos e Borracha,PJ,1.71572E+13,9/22/1969,,12/20/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,12/20/2005,,,,,ECOPAL AUDITORES INDEPENDENTES,4.3343E+13,SEDE,"ALAMEDA TANGARA, 1-VILA VIANNA",,,COTIA,SP,BRASIL,,(11) 4923848,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ANTONIO EDUARDO RIBAS VIANNA,9/22/1969,AL TANGARA 1,,,COTIA,SP,,6700000,(11) 4923840,,,BALCÃO NÃO ORGANIZADO
